"","Report date","Company code","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"1484",2011-05-31,64275,2010,60.839,-41.774,0.137570356545987,0.742408421052632
"1485",2012-05-31,64275,2011,89.735,39.449,0.104940549292594,0.465826931421622
"1486",2013-05-31,64275,2012,50.423,-72.144,0.087201777832616,0.409110929339961
"1487",2014-05-31,64275,2013,109.207,-10.463,0.075269108654968,0.309419379672211
"1488",2015-05-31,64275,2014,161.254,-5.85399999999998,0.0547674965783775,0.201993724929505
"1489",2016-05-31,64275,2015,316.041,20.379,0.0229994648149564,0.0705503868269157
"1490",2017-05-31,64275,2016,-74.278,-11.482,0.0105885814843567,0.0776250523342866
"1491",2011-03-31,64630,2010,48.458,127.954,0.110366908555368,0.973643115251221
"1492",2012-03-31,64630,2011,-108.816,144.238,0.275215389929069,0.934449134643504
"1493",2013-03-31,64630,2012,-29.491,-21.387,0.262319431477674,1.27057084375711
"1494",2014-03-31,64630,2013,361.605,535.765,0.252291304323667,0.588418790791227
"1495",2015-03-31,64630,2014,-279.47,-6.399,0.213373223970239,0.586916775056558
"1496",2016-03-31,64630,2015,-8.302,-111.258,0.192232336541613,0.481773428565347
"1497",2017-03-31,64630,2016,67.303,152.627,0.0799989457486042,0.21336119102648
"1498",2013-03-31,64668,2012,0.306,10.081,0,NA
"1499",2014-03-31,64668,2013,-1.758,-4.88,0,NA
"1500",2015-03-31,64668,2014,0.249,14.055,0,NA
"1501",2016-03-31,64668,2015,-0.362,-13.861,0,NA
"1502",2017-03-31,64668,2016,-2.552,-2.134,0,NA
"1503",2011-05-31,64708,2010,12.642,7.779,0,0
"1504",2012-05-31,64708,2011,13.727,-30.94,0.408594319009468,12.666728867326
"1505",2011-04-30,64729,2010,NA,NA,NA,NA
"1506",2012-04-30,64729,2011,NA,NA,NA,NA
"1507",2013-04-30,64729,2012,NA,NA,NA,NA
"1508",2014-04-30,64729,2013,NA,NA,NA,NA
"1509",2015-04-30,64729,2014,NA,NA,NA,NA
"1510",2016-04-30,64729,2015,NA,NA,NA,NA
"1511",2017-04-30,64729,2016,NA,NA,NA,NA
"1512",2011-03-31,64835,2010,531.295,780.632,0.424546291999964,6.99520898683248
"1513",2012-03-31,64835,2011,747.237,906.712,0.402755289502116,9.41854465673991
"1514",2013-03-31,64835,2012,729.615,-1880.619,0.391177425973156,11.492444613054
"1515",2014-03-31,64835,2013,720.262,673.971,0.349927967955007,11.1160780168196
"1516",2015-03-31,64835,2014,930.922,-585.922,0.363681087698071,2.65381068664838
"1517",2016-03-31,64835,2015,1775.815,84.9690000000001,0.358610476234899,11.2500110482045
"1518",2017-03-31,64835,2016,1407.75,-37.6569999999997,0.365688876872177,14.1755634064596
"1519",2011-03-31,64853,2010,124.558,25.83,0.176973121525113,0.936463703497283
"1520",2012-03-31,64853,2011,0.857,3.90899999999999,0.157500020734327,0.692676654842563
"1521",2013-03-31,64853,2012,-52.999,-32.895,0.0881846439749399,0.771972009580613
"1522",2014-03-31,64853,2013,12.642,69.571,0.094913464129556,0.474689563350814
"1523",2015-03-31,64853,2014,196.303,128.784,0,0
"1524",2016-03-31,64853,2015,-28.845,126.361,0.149788860358303,2.8196114127876
"1525",2017-03-31,64853,2016,-16.558,120.687,0.151656702680931,82.6222853324424
"1526",2011-03-31,64891,2010,567.6,-123.3,0.0667121720101986,2.77610693400167
"1527",2012-03-31,64891,2011,681,228,0.0577320729635921,0.871273335190861
"1528",2013-03-31,64891,2012,750,311,0.05629175741021,1.28855090832277
"1529",2014-03-31,64891,2013,776,-180,0.09376026272578,51.9090909090909
"1530",2015-03-31,64891,2014,702,-216,0.0908942024238454,5.84210526315789
"1531",2016-03-31,64891,2015,396,-49,0.142282311282794,29.4666666666667
"1532",2017-03-31,64891,2016,-99.3,226.4,0.152459306440198,26.4325153374233
"1533",2011-03-31,65021,2010,6.494,-1.582,0.001655130905808,0.00270187288916181
"1534",2012-03-31,65021,2011,69.228,5.952,0.000917901371497633,0.00735835172921266
"1535",2013-03-31,65021,2012,13.939,27.879,0.000288314734848733,0.00269277845777234
"1536",2014-03-31,65021,2013,2.514,8.935,0.000591571608573443,0.0011659080579397
"1537",2015-03-31,65021,2014,1.926,-5.935,8.45668822558385e-05,0.000141167967294205
"1538",2016-03-31,65021,2015,-5.12,-19.976,0.00447915470311244,0.00973283236513372
"1539",2017-03-31,65021,2016,-4.751,7.88,0.0051669137799344,0.0118258413486258
"1540",2011-03-31,65218,2010,-4.648,3.76,0,0
"1541",2012-03-31,65218,2011,-4.25,-1.393,0,0
"1542",2013-03-31,65218,2012,-3.305,-1.081,0,0
"1543",2014-03-31,65218,2013,-5.353,5.097,0,0
"1544",2015-03-31,65218,2014,-7.709,0.755999999999999,0.396965799164802,NA
"1545",2011-05-31,65286,2010,-3.373,-3.814,0,0
"1546",2012-05-31,65286,2011,-3.389,-1.969,0,0
"1547",2013-05-31,65286,2012,-3.419,0.628,0,0
"1548",2014-05-31,65286,2013,0.422,-0.505,0,0
"1549",2015-05-31,65286,2014,-6.647,4.038,0.254977132095776,0.806595744680851
"1550",2016-05-31,65286,2015,-6.785,-4.694,0.593470037826,116.901960784314
"1551",2017-05-31,65286,2016,-5.653,16.863,0.197785834520264,0.392522163690094
"1552",2011-03-31,65365,2010,16.805,0.483999999999998,0.484315166042119,Inf
"1553",2012-03-31,65365,2011,22.23,0.786000000000001,0.435397844780668,Inf
"1554",2013-03-31,65365,2012,19.941,-0.00499999999999901,0.475676085432183,Inf
"1555",2014-03-31,65365,2013,16.703,-0.162999999999997,0.451257806160251,695.108695652174
"1556",2015-03-31,65365,2014,16.856,0.753,0.657788178984494,Inf
"1557",2016-03-31,65365,2015,12.379,-1.539,0.648614086914288,Inf
"1558",2017-03-31,65365,2016,5.409,1.006,0.638466242221503,12529.4117647059
"1559",2011-03-31,65406,2010,20.871,-3.483,0,0
"1560",2012-03-31,65406,2011,16.659,-2.85900000000001,0,0
"1561",2013-03-31,65406,2012,17.165,-28.646,0,0
"1562",2014-03-31,65406,2013,17.972,0.15,0,0
"1563",2015-03-31,65406,2014,17.453,17.308,0,0
"1564",2016-03-31,65406,2015,20.567,2.026,0,NA
"1565",2017-03-31,65406,2016,23.819,21.091,0,NA
"1566",2011-04-30,65640,2010,20.082,-13.6,0.638867548656246,1651.2048
"1567",2012-04-30,65640,2011,8.212,-1.20199999999998,0.642548532490418,NA
"1568",2013-04-30,65640,2012,25.53,54.144,0.570125013627554,NA
"1569",2014-04-30,65640,2013,-13.174,-46.866,0.579557473407371,NA
